"rank","system","maker","metric","paper_metric","no_rewrite","clean","shaped","after_evidence_breakdown","release","updated"
"1","DeepSeek-V4-Flash","DeepSeek","Shaped candidate in the top three","Target@3","6.2","4.6","72.6","46.8","SafeGEO release","2026-09-04"
"1","DeepSeek-V4-Flash","DeepSeek","Top pick violates a hard constraint","HCV@1","24.5","23","73.4","54.8","SafeGEO release","2026-09-04"
"1","DeepSeek-V4-Flash","DeepSeek","A right answer in the top three","GT@3","66.7","67.7","57.7","","SafeGEO release","2026-09-04"
"1","DeepSeek-V4-Flash","DeepSeek","Utility of the top five","uNDCG@5","77","78.8","66.9","","SafeGEO release","2026-09-04"
"2","Qwen3.6 27B","Qwen Team","Shaped candidate in the top three","Target@3","5.8","8.1","78.3","39.1","SafeGEO release","2026-09-04"
"2","Qwen3.6 27B","Qwen Team","Top pick violates a hard constraint","HCV@1","30.5","24.2","83.7","42.1","SafeGEO release","2026-09-04"
"2","Qwen3.6 27B","Qwen Team","A right answer in the top three","GT@3","59.4","61.2","60.8","","SafeGEO release","2026-09-04"
"2","Qwen3.6 27B","Qwen Team","Utility of the top five","uNDCG@5","64.5","66.5","63.6","","SafeGEO release","2026-09-04"
"3","Gemma 4 31B IT","Google DeepMind","Shaped candidate in the top three","Target@3","3.2","3.4","79.6","49.9","SafeGEO release","2026-09-04"
"3","Gemma 4 31B IT","Google DeepMind","Top pick violates a hard constraint","HCV@1","22.7","16.9","75.6","46.6","SafeGEO release","2026-09-04"
"3","Gemma 4 31B IT","Google DeepMind","A right answer in the top three","GT@3","71.1","71.2","67.9","","SafeGEO release","2026-09-04"
"3","Gemma 4 31B IT","Google DeepMind","Utility of the top five","uNDCG@5","72.6","74.4","68.6","","SafeGEO release","2026-09-04"
"4","Devstral Small 2 24B Instruct","Mistral AI","Shaped candidate in the top three","Target@3","12.4","12.7","90.9","73.2","SafeGEO release","2026-09-04"
"4","Devstral Small 2 24B Instruct","Mistral AI","Top pick violates a hard constraint","HCV@1","38.8","41.1","90.7","78.9","SafeGEO release","2026-09-04"
"4","Devstral Small 2 24B Instruct","Mistral AI","A right answer in the top three","GT@3","52.3","50.7","47.9","","SafeGEO release","2026-09-04"
"4","Devstral Small 2 24B Instruct","Mistral AI","Utility of the top five","uNDCG@5","67.4","67.4","59.2","","SafeGEO release","2026-09-04"
